timestamp,close,high,low,trade_count,open,volume,vwap,year,month,day,hour
2021-12-10 05:00:00+00:00,147.24,149.111,146.83,47263,147.55,2517236,147.618179,2021,12,10,5
2021-12-13 05:00:00+00:00,149.36,150.02,147.25,61361,147.5825,3970302,148.960895,2021,12,13,5
2021-12-14 05:00:00+00:00,148.62,149.43,146.85,51936,147.99,2680691,148.3503,2021,12,14,5
2021-12-15 05:00:00+00:00,151.9,152.06,147.455,68320,148.0996,3531002,149.502356,2021,12,15,5
2021-12-16 05:00:00+00:00,150.39,153.87,149.74,68930,152.72,3453385,151.657667,2021,12,16,5
2021-12-17 05:00:00+00:00,154.46,154.86,148.53,69718,149.78,4664541,153.163839,2021,12,17,5
2021-12-20 05:00:00+00:00,153.01,155.11,152.09,25102,154.78,1721968,153.271328,2021,12,20,5
2021-12-21 05:00:00+00:00,153.95,154.2,151.57,19135,153.19,1497735,153.307725,2021,12,21,5
2021-12-22 05:00:00+00:00,153.76,153.89,151.75,16786,153.46,1051143,153.166305,2021,12,22,5
2021-12-23 05:00:00+00:00,154.69,155.17,152.89,32078,154.14,1961024,154.32004,2021,12,23,5
2021-12-27 05:00:00+00:00,153.37,154.59,152.88,31916,154.59,1738880,153.339415,2021,12,27,5
2021-12-28 05:00:00+00:00,152.2,154.8982,151.83,29329,153.08,1630791,152.963733,2021,12,28,5
2021-12-29 05:00:00+00:00,152.83,153.52,150.84,36442,151.82,2066944,152.239906,2021,12,29,5
2021-12-30 05:00:00+00:00,153.76,155.06,152.28,32010,152.65,1827738,154.301058,2021,12,30,5
2021-12-31 05:00:00+00:00,152.62,154.885,152.5,33901,153.72,1925373,153.687796,2021,12,31,5
2022-01-03 05:00:00+00:00,152.37,152.49,149.34,59041,152.31,3802862,151.219346,2022,1,3,5
2022-01-04 05:00:00+00:00,148.29,152.01,147.1,52852,151.87,3045418,148.433057,2022,1,4,5
2022-01-05 05:00:00+00:00,142.5,148.88,142.3,62170,147.79,3560653,145.672555,2022,1,5,5
2022-01-06 05:00:00+00:00,142.42,143.68,139.83,51122,142.07,2829130,142.297554,2022,1,6,5
2022-01-07 05:00:00+00:00,140.55,143.8,140.46,50127,142.35,2752774,141.624015,2022,1,7,5
2022-01-10 05:00:00+00:00,142.16,142.52,138.33,52383,139.76,3307063,139.849682,2022,1,10,5
2022-01-11 05:00:00+00:00,143.52,143.75,140.84,54334,142.16,3401350,143.070444,2022,1,11,5
2022-01-12 05:00:00+00:00,141.93,144.07,141.35,33354,143.32,1909220,142.311679,2022,1,12,5
2022-01-13 05:00:00+00:00,138.05,141.67,137.83,43408,141.6483,2403603,139.16147,2022,1,13,5
2022-01-14 05:00:00+00:00,138.95,139.0301,135.59,51777,136.76,2773989,137.699702,2022,1,14,5
2022-01-18 05:00:00+00:00,133.46,136.97,133.05,57671,136.5605,2932946,134.630617,2022,1,18,5
2022-01-19 05:00:00+00:00,131.83,135.26,131.77,47476,134.29,2368220,133.300306,2022,1,19,5
2022-01-20 05:00:00+00:00,130.65,134.66,130.36,61374,133.2,2599326,132.890541,2022,1,20,5
2022-01-21 05:00:00+00:00,128.68,131.5,128.2,76285,130.04,4390468,129.574023,2022,1,21,5
2022-01-24 05:00:00+00:00,129.86,130.04,122.94,99280,126.7313,5828354,126.016144,2022,1,24,5
2022-01-25 05:00:00+00:00,127.59,129.58,126.17,85824,128.42,4149359,127.695342,2022,1,25,5
2022-01-26 05:00:00+00:00,126.22,131.07,125.26,76135,128.28,4132403,128.15379,2022,1,26,5
2022-01-27 05:00:00+00:00,123.68,127.93,123.5,80365,127.43,3536371,125.56848,2022,1,27,5
2022-01-28 05:00:00+00:00,127.97,128.07,122.5,98378,124.13,4221915,125.632045,2022,1,28,5
2022-01-31 05:00:00+00:00,131.86,132.07,128.095,71898,128.22,4088100,130.460173,2022,1,31,5
2022-02-01 05:00:00+00:00,134.25,134.32,131.33,70655,132.88,3996260,133.193038,2022,2,1,5
2022-02-02 05:00:00+00:00,132.98,133.91,131.57,49878,133.91,2402893,132.668985,2022,2,2,5
2022-02-03 05:00:00+00:00,130.21,132.13,129.98,76486,131.0,4055250,130.855076,2022,2,3,5
2022-02-04 05:00:00+00:00,130.63,131.71,129.09,56726,129.3333,2484235,130.574955,2022,2,4,5
2022-02-07 05:00:00+00:00,131.64,132.77,130.6,51871,130.88,2215776,131.840194,2022,2,7,5
2022-02-08 05:00:00+00:00,131.55,132.07,129.52,65027,131.22,2420379,131.093056,2022,2,8,5
2022-02-09 05:00:00+00:00,135.1,135.34,132.43,54934,132.54,3399606,134.484877,2022,2,9,5
2022-02-10 05:00:00+00:00,131.8,135.52,130.71,70507,132.25,3455082,133.099903,2022,2,10,5
2022-02-11 05:00:00+00:00,130.07,133.34,129.58,62450,131.88,2877765,131.091615,2022,2,11,5
2022-02-14 05:00:00+00:00,127.68,129.89,126.9,31819,129.68,2175322,128.032513,2022,2,14,5
2022-02-15 05:00:00+00:00,129.98,130.56,128.31,42921,128.98,2138646,129.466466,2022,2,15,5
2022-02-16 05:00:00+00:00,129.91,130.41,127.98,34784,129.36,1690740,129.166757,2022,2,16,5
2022-02-17 05:00:00+00:00,126.0,128.98,125.87,37321,128.98,1932492,127.064221,2022,2,17,5
2022-02-18 05:00:00+00:00,125.04,126.92,124.07,32899,125.99,1604079,125.236328,2022,2,18,5
2022-02-22 05:00:00+00:00,124.16,125.7,123.49,55971,124.2482,2625908,124.423001,2022,2,22,5
2022-02-23 05:00:00+00:00,121.5,125.17,121.38,49825,125.17,2226759,122.633583,2022,2,23,5
2022-02-24 05:00:00+00:00,124.59,124.71,118.63,82346,118.79,3877146,122.190573,2022,2,24,5
2022-02-25 05:00:00+00:00,126.29,126.37,123.82,68766,125.19,3057811,125.6669,2022,2,25,5
2022-02-28 05:00:00+00:00,126.07,126.85,124.48,56629,125.02,2561952,125.575837,2022,2,28,5
2022-03-01 05:00:00+00:00,125.4,127.72,124.63,48451,125.66,2188163,125.997492,2022,3,1,5
2022-03-02 05:00:00+00:00,126.07,126.86,124.18,38192,125.54,1714906,125.766854,2022,3,2,5
2022-03-03 05:00:00+00:00,124.44,126.82,123.76,41498,126.8,1956422,124.673963,2022,3,3,5
2022-03-04 05:00:00+00:00,122.57,124.36,122.1315,20457,123.24,1440570,122.9676,2022,3,4,5
2022-03-07 05:00:00+00:00,120.62,123.53,120.53,54319,121.73,2682094,121.556726,2022,3,7,5
2022-03-08 05:00:00+00:00,120.32,123.68,118.6,89490,120.01,4766460,121.094713,2022,3,8,5
2022-03-09 05:00:00+00:00,124.26,124.85,122.37,42694,122.53,2851515,124.03185,2022,3,9,5
2022-03-10 05:00:00+00:00,123.0,123.27,121.07,47967,122.71,2526433,122.400925,2022,3,10,5
2022-03-11 05:00:00+00:00,120.65,124.47,120.47,38704,123.91,2092635,122.004226,2022,3,11,5
2022-03-14 04:00:00+00:00,119.6,123.395,118.98,54531,121.0,3111902,120.78534,2022,3,14,4
2022-03-15 04:00:00+00:00,121.13,121.23,119.32,26415,120.28,1415970,120.294229,2022,3,15,4
2022-03-16 04:00:00+00:00,125.97,126.03,122.27,51792,122.78,3351212,124.410374,2022,3,16,4
2022-03-17 04:00:00+00:00,128.62,128.65,124.95,51932,125.64,3450783,127.714212,2022,3,17,4
2022-03-18 04:00:00+00:00,130.99,131.055,127.99,49992,128.37,3193987,130.24619,2022,3,18,4
2022-03-21 04:00:00+00:00,129.23,131.22,128.49,36534,130.72,2531720,129.62339,2022,3,21,4
2022-03-22 04:00:00+00:00,131.69,132.11,128.92,33473,129.47,2391180,131.18154,2022,3,22,4
2022-03-23 04:00:00+00:00,128.37,131.13,128.25,25932,131.01,2043816,129.226442,2022,3,23,4
2022-03-24 04:00:00+00:00,130.03,130.06,127.68,22426,128.93,1405965,129.235746,2022,3,24,4
2022-03-25 04:00:00+00:00,128.16,130.24,127.17,38999,130.24,2330160,128.153152,2022,3,25,4
2022-03-28 04:00:00+00:00,129.07,129.74,126.76,29228,128.16,1917187,128.356115,2022,3,28,4
2022-03-29 04:00:00+00:00,132.71,132.96,130.28,42425,130.47,2751810,132.074924,2022,3,29,4
2022-03-30 04:00:00+00:00,130.97,133.675,130.5,36784,132.98,2166576,132.180697,2022,3,30,4
2022-03-31 04:00:00+00:00,130.3,132.1,130.21,41011,131.45,2045208,131.197075,2022,3,31,4
2022-04-01 04:00:00+00:00,133.06,133.26,130.53,38100,130.89,2250738,132.178729,2022,4,1,4
2022-04-04 04:00:00+00:00,134.76,135.01,133.43,47175,133.78,2760186,134.466865,2022,4,4,4
2022-04-05 04:00:00+00:00,132.68,135.57,132.42,39420,134.48,2579994,134.104684,2022,4,5,4
2022-04-06 04:00:00+00:00,132.48,133.29,130.61,47710,131.46,3139016,131.90334,2022,4,6,4
2022-04-07 04:00:00+00:00,133.91,134.5,132.1606,33335,132.33,2038643,133.409464,2022,4,7,4
2022-04-08 04:00:00+00:00,133.34,135.02,132.98,32985,133.4,2125438,133.858088,2022,4,8,4
2022-04-11 04:00:00+00:00,130.27,132.96,130.1,33245,132.46,2099058,131.048443,2022,4,11,4
2022-04-12 04:00:00+00:00,129.27,131.84,128.28,52712,131.02,4652845,129.435156,2022,4,12,4
2022-04-13 04:00:00+00:00,132.5,132.93,129.27,34544,129.27,2033040,131.699314,2022,4,13,4
2022-04-14 04:00:00+00:00,130.86,132.69,130.73,36152,132.16,2239721,131.351394,2022,4,14,4
2022-04-18 04:00:00+00:00,127.1,130.75,126.42,36704,130.51,2601683,127.898303,2022,4,18,4
2022-04-19 04:00:00+00:00,128.32,128.89,126.57,27877,127.05,2040785,128.035664,2022,4,19,4
2022-04-20 04:00:00+00:00,129.0,129.99,127.33,34764,129.05,2314702,129.026829,2022,4,20,4
2022-04-21 04:00:00+00:00,125.96,130.32,125.8,31548,129.76,2015456,127.414055,2022,4,21,4
2022-04-22 04:00:00+00:00,123.04,126.27,122.87,44814,125.66,2591704,124.058478,2022,4,22,4
